"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2258","Проверка плейсхолдеров оплаты рассрочки","","Mon Feb 03 22:48:21 MSK 2025","passed","Mon Feb 03 22:48:23 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkPlaceholdersInstallment"
"","5905","Проверка плэйсходеров в форме оплаты телефона","","Mon Feb 03 22:48:42 MSK 2025","passed","Mon Feb 03 22:48:48 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkPlaceholderPhone"
"","4853","Проверка наличия логотипов платежных систем","","Mon Feb 03 22:48:28 MSK 2025","passed","Mon Feb 03 22:48:32 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkLogo"
"","6684","Проверка заполнения формы оплаты телефона","","Mon Feb 03 22:48:35 MSK 2025","passed","Mon Feb 03 22:48:42 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkPaymentPhone"
"","2317","Проверка плейсхолдеров оплаты задолженности","","Mon Feb 03 22:48:18 MSK 2025","passed","Mon Feb 03 22:48:21 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkPlaceholdersArrears"
"","2468","Проверка плейсхолдеров оплаты интернета","","Mon Feb 03 22:48:32 MSK 2025","passed","Mon Feb 03 22:48:35 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkPlaceholdersInternet"
"","2630","Проверка плейсхолдеров оплаты услуг связи","","Mon Feb 03 22:48:25 MSK 2025","passed","Mon Feb 03 22:48:28 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkPlaceholdersPhone"
"","6146","Проверка ссылки 'Подробнее о сервисе'","","Mon Feb 03 22:48:12 MSK 2025","passed","Mon Feb 03 22:48:18 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkMoreInfoLink"
"","4999","Проверка названия блока","","Mon Feb 03 09:25:09 MSK 2025","passed","Mon Feb 03 09:25:14 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","test.MtsMainPageTest","checkTitleBlock"
"","1984","Проверка названия блока","","Mon Feb 03 22:48:23 MSK 2025","passed","Mon Feb 03 22:48:25 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkTitleBlock"
"","8271","Проверка логотипов платежных карт в форме оплаты","","Mon Feb 03 22:48:48 MSK 2025","passed","Mon Feb 03 22:48:56 MSK 2025","","Тесты блока 'Онлайн пополнение без комиссии'","tests.MtsMainPageTest","checkLogoCardOrder"
